агитировать	сагитировать
всколупывать	всколупнуть
всколыхивать	всколыхнуть
всколыхивать*	всколыхать
всколыхиваться	всколыхнуться
всколыхиваться*	всколыхаться
вскосмачивать	вскосматить
вскрикивать	вскрикнуть
вскрывать	вскрыть
вскрываться	вскрыться
вскрякивать	вскрякнуть
вслушиваться	вслушаться
всматриваться	всмотреться
всовывать	всунуть
всовывать*	всовать
вспаивать	вспоить
вспаривать	вспарить
вспархивать	вспорхнуть
вспарывать	вспороть
вспахивать	вспахать*
вспенивать	вспенить*
вспениваться	вспениться*
всплескивать	всплеснуть
всплескиваться	всплеснуться
всплывать	всплыть
всполаскивать	всполоснуть
всползать	всползти
вспоминать	вспомнить
вспоминаться	вспомниться
вспрыгивать	вспрыгнуть
вспрыскивать	вспрыснуть
вспугивать	вспугнуть
вспузыриваться	вспузыриться
вспухать	вспухнуть
вспучивать	вспучить
вспучиваться	вспучиться
вспыхивать	вспыхнуть
вставать	встать
вставлять	вставить
вставляться	вставиться
встаскивать	встащить
встаскиваться	встащиться
встраивать	встроить
встревать	встрять
встрепывать	встрепать
встречать	встретить
встречаться	встретиться
встряхивать	встряхнуть
встряхиваться	встряхнуться
вступать	вступить
вступаться	вступиться
всучивать	всучить
всхлипывать	всхлипнуть
всходить	взойти*
всхохлачивать	всхохлатить
всхрапывать	всхрапнуть
вталкивать	втолкнуть
вталкивать*	втолкать
вталкиваться	втолкнуться
вталкиваться*	втолкаться
втаптывать	втоптать
втаскивать	втащить
втаскивать*	втаскать
втаскиваться	втащиться
втасовывать	втасовать
втачивать	втачать
втекать	втечь
втемяшивать	втемяшить
втемяшиваться	втемяшиться
втеснять	втеснить
втесываться	втесаться
втирать	втереть
втираться	втереться
втискивать	втиснуть
втискивать*	втискать
втискиваться	втиснуться
втискиваться*	втискаться
втолковывать	втолковать
вторачивать	второчить
вторгаться	вторгнуться
втравливать	втравить*
втравливаться	втравиться*
втравлять	втравить
втравляться	втравиться
втрамбовывать	втрамбовать
втыкать	воткнуть
втыкаться	воткнуться
втягивать	втянуть
втягиваться	втянуться
втяпываться	втяпаться
вуалировать	завуалировать
входить	войти
вцеживать	вцедить
вцепляться	вцепиться
вчерчивать	вчертить
вчинять	вчинить
вчитываться	вчитаться
вшибать	вшибить
вшивать	вшить
вшиветь	завшиветь
въедаться	въесться
въезжать	въехать
выбалтывать	выболтать
выбалтывать*	выболтнуть
выбалтываться	выболтаться
выбегать	выбежать
выбеливать	выбелить
выбеливаться	выбелиться
выбивать	выбить
выбиваться	выбиться
выбирать	выбрать
выбираться	выбраться
выблевывать	выблевать
выблевывать*	выблевнуть
выблевываться	выблеваться
выбраковывать	выбраковать
выбрасывать	выбросить
выбрасываться	выброситься
выбредать	выбрести
выбривать	выбрить
выбриваться	выбриться
выбрызгивать	выбрызнуть
выбрызгивать*	выбрызгать
выбуравливать	выбуравить
выбуривать	выбурить
выбухивать	выбухнуть
выбухивать*	выбухать
выбучивать	выбучить
выбучивать*	выбутить
выбывать	выбыть
вываживать	выводить
вываливать	вывалить
вываливать*	вывалять
вываливаться	вывалиться
вываливаться*	вываляться
вываривать	выварить
вывариваться	вывариться
выващивать	вывощить
выведривать	выведрить
выведывать	выведать
вывеивать	вывеять
вывеиваться	вывеяаться
вывертывать	вывернуть*
вывертывать*	выворотить*
вывертываться	вывернуться*
вывертываться*	выворотиться*
выверчивать	вывертеть
вывершивать	вывершить
выверять	выверить
выветривать	выветрить
выветриваться	выветриться
вывешивать	вывесить
вывивать	вывить
вывинчивать	вывинтить
вывинчиваться	вывинтиться
вывихивать	вывихнуть
выводить	вывести
выводиться	вывестись
вывозить	вывезти
выволакивать	выволочь
выволакивать*	выволочить
выворачивать	вывернуть
выворачивать*	выворотить
выворачиваться	вывернуться
выворачиваться*	выворотиться
вывязывать	вывязать
вывяливать	вывялить
вывяливаться	вывялиться
выгадывать	выгадать
выгачивать	выгатить
выгибать	выгнуть
выгибаться	выгнуться
выгладывать	выглодать
выглаживать	выгладить*
выглаживаться	выгладиться
выглядывать	выглянуть
выглядывать*	выглядеть
выгнивать	выгнить
выговаривать	выговорить
выговариваться	выговориться
выгонять	выгнать
выгораживать	выгородить
выгораживаться	выгородиться
выгорать	выгореть
выгранивать	выгранить
выгребать	выгрести
выгребаться	выгрестись
выгружать	выгрузить
выгружаться	выгрузиться
выгрызать	выгрызть
выгуливать	выгулять
выгуливаться	выгуляться
выдавать	выдать
выдаваться	выдаться
выдавливать	выдавить
выдавливаться	выдавиться
выдаивать	выдоить
выдалбливать	выдолбить
выдвигать	выдвинуть
выдвигаться	выдвинуться
выдворять	выдворить
выделывать	выделать
выделять	выделить
выделяться	выделиться
выдергивать	выдернуть
выдергивать*	выдергать
выдергиваться	выдернуться
выдерживать	выдержать
выдерживаться	выдержаться
выдирать	выдрать
выдираться	выдраться
выдраивать	выдраить
выдувать	выдуть
выдумывать	выдумать
выдыхать	выдохнуть
выдыхаться	выдохнуться
выедать	выесть
выезжать	выехать
выжаривать	выжарить
выжариваться	выжариться
выживать	выжить
выжигать	выжечь
выжидать	выждать
выжимать	выжать
выжиматься	выжаться
выжинать	выжать*
выжирать	выжрать
вызванивать	вызвонить
вызволять	вызволить
выздоравливать	выздороветь
вызнавать	вызнать
вызолачивать	вызолотить
вызревать	вызреть
вызубривать	вызубрить*
вызывать	вызвать
вызываться	вызваться
вызябать	вызябнуть
выигрывать	выиграть
выигрываться	выиграться
выискивать	выискать
выискиваться	выискаться
выказывать	выказать
выкаливать	выкалить
выкалывать	выколоть
выканючивать	выканючить
выкапчивать	выкоптить
выкапчиваться	выкоптиться
выкапывать	выкопать*
выкапываться	выкопаться
выкарабкиваться	выкарабкаться
выкармливать	выкормить
выкармливаться	выкормиться
выкатывать	выкатить
выкатывать*	выкатать
выкатываться	выкатиться
выкатываться*	выкататься
выкать	выкнуть
выкачивать	выкачать
выкашивать	выкосить
выкашиваться	выкоситься
выкашливать	выкашлять
выкашливать*	выкашлянуть
выкашливаться	выкашляться
выкашливаться*	выкашлянуться
выкидывать	выкинуть
выкидывать*	выкидать
выкидываться	выкинуться
выкипать	выкипеть
выкисать	выкиснуть
выкладывать	выложить
выкладываться	выложиться
выклевывать	выклевать
выклевывать*	выклюнуть
выклеивать	выклеить
выклеиваться	выклеиться
выклепывать	выклепать
выкликать	выкликнуть
выкликивать	выкликнуть*
выклиниваться	выклиниться
выключать	выключить
выключаться	выключиться
выклянчивать	выклянчить*
выковывать	выковать
выковываться	выковаться
выковыривать	выковырнуть
выковыривать*	выковырять
выколачивать	выколотить
выколупывать	выколупать
выколупывать*	выколупнуть
выконопачивать	выконопатить
выкорчевывать	выкорчевать*
выкрадывать	выкрасть
выкрадываться	выкрасться
выкраивать	выкроить
выкраиваться	выкроиться
выкрахмаливать	выкрахмалить
выкрашивать	выкрасить
выкрашивать*	выкрошить
выкрашиваться	выкраситься
выкрашиваться*	выкрошиться
выкрещивать	выкрестить
выкрещиваться	выкреститься
выкрикивать	выкрикнуть
выкристаллизовывать	выкристаллизовать
выкристаллизовываться	выкристаллизоваться
выкруглять	выкруглить
выкручивать	выкрутить
выкручиваться	выкрутиться
выкрывать	выкрыть
выкувыркивать	выкувырнуть
выкувыркиваться	выкувырнуться
выкупать	выкупить
выкупаться	выкупиться
выкуривать	выкурить
выкуриваться	выкуриться
выкусывать	выкусить
выкусывать*	выкусать
вылавливать	выловить
выламывать	выломать
выламывать*	выломить
выламываться	выломаться
выламываться*	выломиться
вылащивать	вылощить
вылащиваться	вылощиться
вылеживать	вылежать
вылеживаться	вылежаться
вылезать	вылезти
вылезать*	вылезть
вылепливать	вылепить*
вылеплять	вылепить
вылепляться	вылепиться
вылетать	вылететь
вылечивать	вылечить*
вылечиваться	вылечиться*
выливать	вылить
выливаться	вылиться
вылизывать	вылизать
вылизываться	вылизаться
вылуживать	вылудить
вылупливать	вылупить*
вылупливаться	вылупиться*
вылуплять	вылупить
вылупляться	вылупиться
вылущивать	вылущить
вымазывать	вымазать
вымазываться	вымазаться
вымалевывать	вымалевать
вымаливать	вымолить
вымалывать	вымолоть
вымалываться	вымолоться
выманивать	выманить
вымаривать	выморить
вымарывать	вымарать
вымарываться	вымараться
выматывать	вымотать
выматываться	вымотаться
вымахивать	вымахать
вымачивать	вымочить
вымачиваться	вымочиться
вымащивать	вымостить*
вымежевывать	вымежевать
вымежевываться	вымежеваться
выменивать	выменять
вымерзать	вымерзнуть
вымеривать	вымерить*
вымерять	вымерить
выметать	вымести
выметаться	выместись
выметывать	выметать
выметывать*	выметнуть
выметываться	выметаться
выметываться*	выметнуться
вымечать	выметить
вымешивать	вымесить
вымешивать*	вымешать
вымешиваться	вымеситься
вымещать	выместить
вымещаться	выместиться
выминать	вымять
вымирать	вымереть
вымолачивать	вымолотить
вымораживать	выморозить
вымораживаться	выморозиться
вымучивать	вымучить
вымывать	вымыть*
вымываться	вымыться*
вымыливать	вымылить
вымыливаться	вымылиться
вымышлять	вымыслить
вынашивать	выносить
вынашиваться	выноситься
вынизывать	вынизать
вынимать	вынуть
выниматься	вынуться
выносить	вынести
выноситься	вынестись
вынуждать	вынудить
выныривать	вынырнуть
вынюхивать	вынюхать
вынянчивать	вынянчить*
выпадать	выпасть
выпаивать	выпаять
выпаивать*	выпоить
выпаиваться	выпаяться
выпаливать	выпалить*
выпалывать	выполоть
выпаривать	выпарить
выпариваться	выпариться
выпархивать	выпорхнуть
выпарывать	выпороть*
выпарываться	выпороться
выпасать	выпасти
выпахивать	выпахать
выпахиваться	выпахаться
выпевать	выпеть
выпекать	выпечь
выпекаться	выпечься
выпендриваться	выпендриться
выпивать	выпить*
выпиливать	выпилить
выпирать	выпереть
выписывать	выписать
выписываться	выписаться
выпихивать	выпихнуть
выпихивать*	выпихать
выпихиваться	выпихнуться
выплавлять	выплавить
выплавляться	выплавиться
выплакивать	выплакать
выплакиваться	выплакаться
выплачивать	выплатить
выплевывать	выплюнуть
выплевывать*	выплевать
выплескивать	выплеснуть
выплескивать*	выплескать
выплескиваться	выплеснуться
выплескиваться*	выплескаться
выплетать	выплести
выплетаться	выплестись
выплывать	выплыть
выплясывать	выплясать
выполаскивать	выполоскать
выполаскивать*	выполоснуть
выползать	выползти
выполнять	выполнить
выполняться	выполниться
выпоражнивать	выпорожнить
выпотевать	выпотеть
выправлять	выправить
выправляться	выправиться
выпрастывать	выпростать
выпрастываться	выпростаться
выпрашивать	выпросить
выпрашиваться	выпроситься
выпревать	выпреть
выпроваживать	выпроводить
выпрокидывать	выпрокинуть
выпрокидываться	выпрокинуться
выпрыгивать	выпрыгнуть
выпрыскивать	выпрыснуть
выпрыскивать*	выпрыскать
выпрягать	выпрячь
выпрягаться	выпрячься
выпрядать	выпрясть
выпрямлять	выпрямить
выпрямляться	выпрямиться
выпугивать	выпугнуть
выпускать	выпустить
выпутывать	выпутать
выпутываться	выпутаться
выпучивать	выпучить
выпучиваться	выпучиться
выпытывать	выпытать
выпяливать	выпялить
выпяливаться	выпялиться
выпячивать	выпятить
выпячиваться	выпятиться
вырабатывать	выработать
вырабатываться	выработаться
выравнивать	выровнять
выравниваться	выровняться
выражать	выразить
выражаться	выразиться
вырастать	вырасти*
выращивать	вырастить*
вырезать	вырезать
вырезаться	вырезаться
вырезывать	вырезать*
вырезываться	вырезаться*
вырисовывать	вырисовать
вырисовываться	вырисоваться
вырождаться	вырождодиться
вырубать	вырубить
вырубаться	вырубиться
выруливать	вырулить
выручать	выручить
выручаться	выручиться
вырывать	вырвать*
вырывать*	вырыть*
вырываться	вырваться*
вырываться*	вырыться
выряжать	вырядить
выряжаться	вырядиться
высаживать	высадить
высаживаться	высадиться
высаливать	высолить
высаливать*	высалить
высаливаться	высолиться
высаливаться*	высалиться
высасывать	высосать
высачивать	высочить
высачиваться	высочиться
высватывать	высватать
высверливать	высверлить
высверливаться	высверлиться
высвечивать	высветить
высвистывать	высвистеть
высвистывать*	высвистать
высвобождать	высвободить
высвобождаться	высвободиться
высевать	высеять
высеивать	высеять*
высекать	высечь
высекаться	высечься
выселять	выселить
выселяться	выселиться
высиживать	высидеть
высиживаться	высидеться
высинивать	высинить
выскабливать	выскоблить*
выскабливаться	выскоблиться
