абажур	lampshade
альманах	literary miscellany
альпийский	alpine
альпинизм	mountaineering
альпинист	mountaineer
алюминий	aluminium
амбразура	embrasure
амбулатория	dispensary
американец	American
американский	American
амнистия	amnesty
амнистия	free pardon
аморальный	amoral
аморальный	immoral
амортизация	depreciation
амортизация	wear and tear
амортизация	shock absorption
ампер	ampere
амплитуда	amplitude
амплуа	line
амплуа	part
амплуа	theatrical character
ампутация	amputation
ампутировать	amputate
амуниция	military equipment
амфитеатр	amphitheatre
амфитеатр	circle
анализ	analysis
анализировать	analyse
аналогичный	analogous
аналогия	analogy
ананас	pine­apple
анархизм	anarchism
анархист	anarchist
анархия	anarchy
анатом	anatomist
анатомировать	anatomize
анатомировать	dissect
анатомия	anatomy
анахронизм	anachronism
ангар	hangar
ангел	angel
ангина	quinsy
ангина	tonsillitis
английский	English
англичане	the English
англичанин	Englishman
англичанка	Englishwoman
англосаксонский	Anglo­Saxon
анекдот	joke
анекдот	funny story
анекдотичный	comical
анекдотичный	improbable
анкета	form
анкета	questionnaire
аннотация	abstract
аннотировать	annotate
аннулировать	annul
аннулировать	nullify
аннулировать	cancel
анод	anode
аномалия	anomaly
анонимный	anonymous
анонс	announcement
анонс	notice
ансамбль	ensemble
антагонизм	antagonism
антагонистический	antagonistic
антенна	aerial
антивоенный	anti­war
антивоенный	anti­military
антиимпериалистический	anti­imperialist
антиквар	antiquary
антикварный	antiquarian
антимилитаристический	anti­militarist
антинародный	anti­national
антинародный	anti­popular
антиобщественный	anti­social
антипатия	antipathy
антипатия	aversion
антирелигиозный	anti­religious
антисанитарный	insanitary
антисанитарный	unhygienic
антисемитизм	anti­Semitism
антисоветский	anti­Soviet
антифашист	anti­fascist
античный	antique
антоним	antonym
антракт	interval
антрацит	anthracite
антрепренёр	manager
антрепренёр	impresario
аншлаг	sold out
апатичный	apathetic
апатичный	indifferent
апатичный	listless
апатия	apathy
апатия	indifference
апеллировать	appeal
апелляция	appeal
апельсин	orange
аплодировать	applaud
апломб	assurance
апломб	aplomb
апостроф	apostrophe
апофеоз	apotheosis
апофеоз	triumph
аппарат	device
аппарат	apparatus
аппарат	staff
аппарат	personnel
аппаратура	apparatus
аппендицит	appendicitis
аппетит	appetite
аппетитный	appetizing
апрель	April
аптека	chemist's shop
аптека	drug­store
аптекарь	chemist
аптекарь	druggist
аптечка	medicine chest
аптечка	first­aid outfit
араб	Arab
арабский	Arabian
арабский	Arabic
арбитр	arbiter
арбитраж	arbitration
арбуз	water­melon
аргентинец	Argentinian
аргентинский	Argentine
аргумент	argument
аргументация	argumentation
аргументировать	argue
арена	arena
аренда	lease
арендатор	lessee
арендатор	tenant
арендовать	lease
арендовать	rent
арест	arrest
арестант	prisoner
арестовывать	arrest
аристократ	aristocrat
аристократический	aristocratic
аристократия	aristocracy
арифметика	arithmetic
арифметический	arithmetical
ария	aria
арка	arch
арктический	arctic
армия	army
армянин	Armenian
армянский	Armenian
аромат	aroma
аромат	perfume
аромат	fragrance
ароматный	aromatic
ароматный	fragrant
арсенал	arsenal
артель	artel
артель	co­operative
артерия	artery
артиллерист	artilleryman
артиллерия	artillery
артист	artist
артист	actor
артистический	artistic
артистка	actress
арфа	harp
архаизм	archaism
архаический	archaic
археолог	archaeologist
археология	archaeology
архив	archives files
архипелаг	archipelago
архитектор	architect
архитектура	architecture
архитектурный	architectural
арык	irrigation ditch
арьергард	rear­guard
аскет	ascetic
аспирантка	post­graduate
аспирантура	post­graduate course
ассамблея	assembly
ассигнование	appropriation
ассигновать	assign
ассигновать	appropriate
ассимилироваться	assimilate
ассимиляция	assimilation
ассистент	assistant
ассортимент	assortment
ассортимент	choice
ассоциация	association
ассоциироваться	associate
астероид	asteroid
астма	asthma
астматический	asthmatic
астра	aster
астронавт	astronaut
астронавт	spaceman
астронавтика	astronautics
астроном	astronomer
астрономический	astronomic
астрономия	astronomy
астрофизик	astrophysicist
астрофизика	astrophysics
асфальт	asphalt
асфальтировать	pave with asphalt
асфальтовый	asphalt asphalted
атавизм	atavism
атавистический	atavistic
атака	attack
атака	charge
атаковать	attack
атаковать	charge
атеизм	atheism
атеист	atheist
ателье	studio
ателье	dressmaking and tailoring establishment
атлас	satin
атлет	athlete
атлетика	athletics
атмосфера	atmosphere
атмосферный	atmospheric
атом	atom
атомный	atomic
атрибут	attribute
атрофироваться	atrophy
атташе	attachй
аттестат	certificate
аудитория	lecture­hall
аудитория	lecture­room
аудитория	audience
аукцион	auction
афганец	Afghan
афганский	Afghan
афера	shady transaction
аферист	swindler
афиша	bill
афиша	poster
афоризм	aphorism
ах	ah
ахинея	drivel
ахинея	nonsense
ахинея	rubbish
ахнуть	gasp
аэродром	aerodrome
аэродром	airdrome
аэроклуб	amateur flying club
аэронавигация	aeronavigation
аэроплан	aeroplane
аэропорт	airport
аэростат	balloon
аэросъёмка	air survey
аэрофотосъёмка	air photography
баба	peasant woman
баба	woman
баба	old woman
баба	milksop
бабочка	butterfly
бабушка	grandmother
багаж	luggage
багаж	baggage
багровый	purple
бадья	bucket
бадья	pail
база	base
база	basis
база	foundation
база	storehouse
база	warehouse
база	tourist centre
базар	market
базар	bazaar
базировать	base
базироваться	be based
базироваться	rest
базис	basis
базис	foundation
байдарка	canoe
байка	flannelette
бак	cistern
бак	tank
бакалея	grocery
бактериолог	bacteriologist
бактериологический	bacteriological
бактериология	bacteriology
бактерия	bacterium
бал	ball
бал	dance
балаган	booth
балаган	show­booth
балаган	farce
балаган	buffoonery
балалайка	balalaika
баланс	balance
балерина	ballet­dancer
балет	ballet
балка	beam
балка	girder
балканский	Balkan
балкон	balcony
балкон	upper circle
балл	point
балл	mark
баллада	ballad
балласт	ballast
балласт	lumber
балласт	dead weight
баллон	cylinder
баллон	inner tube
баллотировать	ballot
баллотировать	vote
баллотироваться	stand
баллотироваться	be a candidate
баллотировка	ballot
баллотировка	voting
балованный	spoilt
баловать	spoil
баловать	pet
баловаться	be naughty
баловень	favourite
баловень	pet
баловство	naughtiness
баловство	spoiling
балтийский	Baltic
бальзамировать	embalm
бамбук	bamboo
банальный	commonplace
банальный	hackneyed
банальный	trite
банан	banana
банда	gang
бандаж	truss
бандероль	printed matter
бандит	bandit
бандит	gangster
бандитизм	gangsterism
банк	bank
банка	jar
банка	tin
банка	can
банка	cupping­glass
банкет	banquet
банкир	banker
банкрот	bankrupt
банкротство	bankruptcy
банкротство	failure
бант	bow
баня	bath­house
барабан	drum
барабанить	drum
барабанить	patter
барабанщик	drummer
барак	barrack
барак	hut
баран	ram
баран	sheep
бараний	sheep's
бараний	sheepskin
бараний	mutton
баранина	mutton
барашек	lamb
барашек	lambskin
барашек	astrakhan
барельеф	bas­relief
баржа	barge
барин	gentleman
барин	master
барин	sir
барин	lord
барин	gentleman
баритон	baritone
барокамера	pressure chamber
барометр	barometer
баррикада	barricade
барский	lordly
барский	grand
барсук	badger
бархат	velvet
барыня	lady
барыня	mistress
барыня	madam
барыня	ma'am
барыня	lady
барыня	fine lady
барыш	profit
барыш	gain
барышня	young lady
барышня	miss
барьер	barrier
барьер	hurdle
бас	bass
баскетбол	basket­ball
баснословный	fabulous
баснословный	incredible
басня	fable
бассейн	pond
бассейн	reservoir
бастовать	be on strike
батальон	battalion
батарея	battery
батарея	radiator
батист	cambric
батон	long loaf
батрак	farm labourer
батрак	farm­hand
бахвальство	bragging
бахрома	fringe
бацилла	bacillus
башенка	turret
башкир	Bashkir
башкирский	Bashkir
башмак	shoe
башмак	boot
башня	tower
баян	bayan
бдительность	vigilance
бдительность	watchfulness
бдительный	vigilant
бдительный	watchful
бег	run
бега	the races
бегемот	hippopotamus
беглец	fugitive
беглец	runaway
бегло	fluently
беглый	runaway
беглый	fluent
беглый	cursory
беговой	race running
бегом	running
беготня	bustle
беготня	running about
бегство	flight
бегун	runner
беда	misfortune
беда	trouble
беднеть	grow poor
бедность	poverty
беднота	the poor
бедный	poor
бедный	poor man
бедняга	poor fellow
бедняжка	poor thing
бедняк	poor man
бедняк	poor peasant
бедовый	daring
бедовый	foolhardy
бедро	thigh
бедро	hip
бедственный	calamitous
бедственный	disastrous
бедственный	miserable
бедствие	calamity
бедствие	disaster
бедствовать	live in poverty
бежать	run
бежать	flee
бежать	escape
бежать	run
бежать	go by
бежать	fly
беженец	refugee
без	without
без­	in­ir­­lessun­
безалаберный	disorganised
безалаберный	slap­dash
безапелляционный	allowing of no appeal
безапелляционный	final
безапелляционный	categorical
безбилетный	without a ticket
безбожник	atheist
безболезненный	painless
безбрежный	boundless
безбрежный	without end
безвестный	unknown
безвестный	obscure
безвкусный	tasteless
безвкусный	insipid
безвластие	anarchy
безводный	arid
безвозвратный	irretrievable
безвозвратный	irrevocable
безвоздушный	airless
безвозмездно	without compensation
безвозмездный	gratuitous
безволие	weak will
безволие	lack of will
безвольный	weak­willed
безвредный	harmless
безвыездно	without quitting the place
безвыходный	hopeless
безвыходный	desperate
безголовый	brainless
безголовый	scatter­brained
безголосый	voiceless
безголосый	who has no voice
безграмотность	illiteracy
безграмотность	ignorance
безграмотный	illiterate
безграмотный	ignorant
безграничный	boundless
безграничный	infinite
бездарный	untalented
бездарный	not gifted
бездействие	inaction
бездействие	inactivity
бездействовать	be inactive
бездействовать	do nothing
бездействовать	be idle
безделица	trifle
безделица	bagatelle
безделушка	trinket
безделушка	knick­knack
безделушка	toy
безделье	idleness
бездельник	idler
бездельник	loafer
бездельничать	idle
бездельничать	loaf
безденежье	lack of money
бездетность	childlessness
бездетный	childless
бездна	abyss
бездна	chasm
бездна	a heap
бездомный	homeless
бездонный	bottomless
бездонный	fathomless
бездорожье	lack of roads
бездорожье	impassability of roads
бездушный	heartless
бездушный	callous
бездыханный	lifeless
безжалостный	pitiless
безжалостный	ruthless
беззаботный	care­free
беззаботный	light­hearted
беззаветный	whole­hearted
беззаконие	lawlessness
беззаконие	lawless action
беззаконный	lawless
беззастенчивый	shameless
беззастенчивый	impudent
беззащитный	defenceless
беззащитный	unprotected
беззвучный	soundless
беззвучный	noiseless
безземельный	landless
беззлобный	good­natured
беззубый	toothless
безличный	impersonal
безличный	without personality
безлюдный	lonely
безлюдный	solitary
безлюдный	thinly populated
безмерный	immeasurable
безмерный	boundless
безмерный	infinite
безмозглый	brainless
безмозглый	stupid
безмолвие	silence
безмолвный	silent
безмятежный	serene
безнадёжный	hopeless
безнаказанно	with impunity
безнаказанный	unpunished
безногий	legless
безногий	one­legged
безнравственность	immorality
безнравственный	immoral
безобидный	inoffensive
безобидный	harmless
безоблачный	cloudless
безоблачный	unclouded
безобразие	ugliness
безобразие	deformity
безобразие	disgrace
безобразие	scandal
безобразничать	behave disgracefully
безобразничать	be up to mischief
безобразный	ugly
безобразный	deformed
безобразный	disgraceful
безобразный	shocking
безоговорочно	unconditionally
безоговорочно	without reserve
безоговорочный	unconditional
безопасность	safety
безопасность	security
безопасный	safe
безопасный	secure
безоружный	unarmed
безостановочный	unceasing
безостановочный	non­stop
безответственность	irresponsibility
безответственный	irresponsible
безотказно	without a hitch
безотрадный	cheerless
безотчётный	irrational
безотчётный	instinctive
безотчётный	subconscious
безошибочный	unerring
безошибочный	faultless
безработица	unemployment
безработные	the unemployed
безработный	unemployed
безработный	jobless
безработный	unemployed
безразличие	indifference
безразличие	apathy
безразлично	with indifference
безразлично	it is all the same
безразличный	indifferent
безразличный	listless
безрассудно	rashly
безрассудный	reckless
безрезультатно	without result
безрезультатно	in vain
безрезультатный	futile
безрезультатный	vain
безропотный	uncomplaining
безропотный	resigned
безрукий	armless
безрукий	one­armed
безрукий	awkward
безрукий	clumsy
безударный	unstressed
безудержный	unrestrained
безудержный	unbridled
безукоризненный	irreproachable
безукоризненный	immaculate
безумец	madman
безумие	madness
безумие	folly
безумно	madly
безумно	terribly
безумный	mad
безумный	insane
умолку	without stopping
умолку	incessantly
безумство	folly
безумство	madness
безусловно	undoubtedly
безусловный	absolute
безусловный	undoubted
безуспешный	unsuccessful
безутешный	inconsolable
безутешный	disconsolate
безучастный	listless
безучастный	indifferent
безучастный	apathetic
безыдейный	lacking both principles and ideas
безымянный	anonymous
безысходный	endless
белёсый	whitish
белеть	become white
белеть	show white
белизна	whiteness
белила	zinc white
белила	white lead
белить	bleach
белить	whitewash
белка	squirrel
белковый	albuminous
беллетристика	fiction
белок	white
белок	white
белок	albumen
белокурый	blond
белокурый	fair
белорус	Byelorussian
белорусский	Byelorussian
белоснежный	snow­white
белошвейка	seamstress
белуга	beluga
белуга	white sturgeon
белый	white
бельгиец	Belgian
бельгийский	Belgian
бельё	linen
бельё	washing
бельмо	wall­eye
бельэтаж	first floor
бельэтаж	dress circle
бемоль	flat
бензин	benzine
бензин	petrol
бензин	gasoline
бензин	gas
бензоколонка	filling­station
бензоколонка	petrol­station
бензоколонка	petrol pump
берег	shore
берег	seashore
берег	coast
берег	bank
берег	beach
берегись	look out
берегись	take care
береговой	coast river bank coastal
бережливый	thrifty
бережливый	economical
бережный	careful
бережный	cautious
берёза	birch
беременная	pregnant
беременность	pregnancy
берет	beret
беречь	take care
беречь	guard
беречь	spare
беречься	be careful
беречься	beware
берлога	den
берлога	lair
бес	demon
беседа	conversation
беседа	talk
беседка	summer­house
беседка	arbour
беседовать	talk
бесить	madden
бесить	drive wild
беситься	rage
бесклассовый	classless
бесконечно	infinitely
бесконечно	endlessly
бесконечность	infinity
бесконечный	endless
бесконечный	infinite
бесконтрольный	uncontrolled
бескорыстный	disinterested
бесноваться	rage
бесноваться	rave
беспамятство	unconsciousness
беспартийный	non­Party non­Party man
бесперебойный	uninterrupted
бесперебойный	continuous
беспересадочный	through
беспересадочный	without changing on a journey
беспечный	careless
беспечный	light­hearted
бесплатно	free of charge
бесплатно	gratis
бесплатный	free
бесплодно	in vain
бесплодный	sterile
бесплодный	barren
бесплодный	fruitless
бесплодный	futile
бесповоротный	irrevocable
бесподобный	incomparable
бесподобный	inimitable
беспокоить	disturb
беспокоить	trouble
беспокоить	bother
беспокоить	worry
беспокоить	upset
беспокоиться	worry
беспокоиться	be anxious
беспокоиться	trouble
беспокоиться	bother
беспокойный	restless
беспокойный	uneasy
беспокойство	anxiety
беспокойство	worry
беспокойство	trouble
бесполезно	it is useless
бесполезно	it is of no use
бесполезный	useless
беспомощный	helpless
беспомощный	ineffectual
беспорядок	disorder
беспорядок	confusion
беспорядочный	disorderly
беспорядочный	confused
беспочвенный	groundless
беспошлинный	duty­free
беспощадный	ruthless
беспощадный	merciless
бесправный	deprived of civil rights
беспредельный	unlimited
беспредельный	boundless
беспрекословный	unquestioning
беспрепятственный	free
беспрепятственный	unimpeded
беспрерывный	continuous
беспрерывный	incessant
беспрецедентный	unprecedented
беспризорный	uncared­for
беспризорный	neglected
беспризорный	homeless
беспризорный	waif
беспризорный	homeless child
беспримерный	unprecedented
беспримерный	unexampled
беспринципный	unprincipled
беспринципный	unscrupulous
беспристрастный	impartial
беспристрастный	unbiased
беспричинно	without reason
беспричинный	groundless
беспричинный	causeless
беспробудный	deep
беспробудный	dead
беспроволочный	wireless
беспроигрышный	safe
беспросветный	pitch dark
беспросветный	dense
беспросветный	hopeless
беспроцентный	bearing no interest
беспутный	dissolute
беспутный	dissipated
бессвязный	inconsequent
бессвязный	incoherent
бессердечный	heartless
бессильный	weak
бессильный	impotent
бессистемный	unsystematic
бесславный	ignominious
бесславный	inglorious
бесследно	without leaving a trace
бесследный	traceless
бессловесный	dumb
бессловесный	mute
бессловесный	meek
бессмертие	immortality
бессмертный	immortal
бессмысленный	senseless
бессмысленный	absurd
бессмыслица	nonsense
бессовестный	unscrupulous
бессовестный	shameless
бессодержательный	empty
бессодержательный	vapid
бессознательный	unconscious
бессознательный	unintentional
бессонница	sleeplessness
бессонница	insomnia
бессонный	sleepless
бесспорный	indisputable
бесспорный	irrefutable
бессрочный	with no fixed term
бессрочный	indefinite
бесстрастный	impassive
бесстрашный	fearless
бесстыдный	shameless
бестактный	tactless
бестолковый	stupid
бестолковый	muddle­headed
бесформенный	formless
бесформенный	shapeless
бесхарактерный	weak­willed
бесхарактерный	spineless
бесхитростный	artless
бесхитростный	simple
бесхитростный	simple­minded
бесхозяйственность	mismanagement
бесхозяйственность	thriftlessness
бесхозяйственный	thriftless
бесцветный	colourless
бесцельный	aimless
бесценный	priceless
бесценный	invaluable
бесцеремонный	unceremonious
бесчеловечный	inhuman
бесчеловечный	brutal
бесчестный	dishonourable
бесчестье	dishonour
бесчестье	disgrace
бесчинство	excess
бесчинство	outrage
бесчинствовать	commit outrages
бесчисленный	countless
бесчисленный	innumerable
бесчувственный	insensible
бесчувственный	unfeeling
бесчувственный	callous
бесшумный	noiseless
бетон	concrete
бетономешалка	concrete mixer
бечёвка	string
бечёвка	twine
бешенство	hydrophobia
бешенство	rage
бешенство	fury
бешеный	mad
бешеный	furious
библиография	bibliography
библиотека	library
библиотекарь	librarian
библия	the Bible
бидон	can
биение	beating
биение	throbbing
биение	pulsation
билет	ticket
билет	card
билет	paper
билет	card
билетёр	ticket collector
бильярд	billiards
бинокль	opera­glass
бинокль	binocular
бинокль	field­glass
бинт	bandage
бинтовать	bandage
бинтовать	dress
биография	biography
биолог	biologist
биология	biology
биохимия	biochemistry
биржа	exchange
бис	encore
бисквит	sponge­cake
биссектриса	bisector
битва	battle
битый	beaten
битый	broken
бить	beat
бить	hit
бить	break
бить	smash
бить	strike
бить	kill
бить	slaughter
бить	gush out
биться	fight
биться	knock
биться	beat
биться	struggle
бич	lash
бич	whip
бич	plague
бич	scourge
благо	good
благо	welfare
благовоспитанный	well­bred
благодарить	thank
благодарность	gratitude
благодарный	grateful
благодарный	thankful
благодаря	thanks to
благодетель	benefactor
благодеяние	good deed
благодеяние	boon
благодушие	kindliness
благожелательно	favourably
благожелательный	well­disposed
благожелательный	kindly
благозвучный	harmonious
благонадёжный	trustworthy
благонадёжный	reliable
благополучие	well­being
благополучие	prosperity
благополучно	all right
благополучно	well
благополучно	happily
благополучный	happy
благоприятный	favourable
благоприятный	propitious
благоразумие	sense
благоразумие	prudence
благоразумный	reasonable
благоразумный	sensible
благоразумный	wise
благоразумный	prudent
благородный	noble
благородный	generous
благородство	nobility
благородство	generosity
благосклонный	benevolent
благословлять	bless
благосостояние	well­being
благосостояние	prosperity
благотворительность	charity
благотворительность	philanthropy
благотворный	beneficial
благоустроенный	comfortable
благоустроенный	well equipped
благоухание	fragrance
блаженство	bliss
бланк	form
бледнеть	turn pale
бледность	pallor
бледность	paleness
бледный	pale
блёклый	faded
блёкнуть	fade
блёкнуть	wither
блеск	lustre
блеск	brilliance
блеск	shine
блесна	spoon­bait
блеснуть	flash
блестеть	shine
блестеть	glitter
блестящий	shining
блестящий	brilliant
ближайший	nearest
ближайший	the next
ближайший	immediate
ближние	fellow creatures
ближний	neighbouring
ближний	near
ближний	nearest
близ	near
близ	close
близиться	approach
близиться	come
близкий	near
близкий	like
близкий	close
близкий	intimate
близкий	close
близко	near
близко	close
близко	it is not far
близнецы	twins
близорукий	myopic
близорукий	short­sighted
близорукость	myopia
близорукость	short­sightedness
близость	nearness
близость	proximity
близость	intimacy
блик	patch of reflected light
блик	high light
блин	pancake
блиндаж	dug­out
блистать	shine
блистать	glow
блистать	scintillate
блок	bloc
блок	block
блок	pulley
блокада	blockade
блокировать	blockade
блокнот	note­book
блокнот	writing­pad
блондин	fair­haired man
блондинка	blonde
блоха	flea
блуждать	roam
блуждать	wander
блуждающий	wandering
блуза	blouse
блюдечко	saucer
блюдечко	jam dish
блюдо	dish
блюдце	saucer
блюсти	guard
блюсти	observe
боб	bean
бобёр	beaver
бобрик	castor
бог	God
богатеть	grow rich
богатство	riches wealth
богатый	rich
богатый	wealthy
богатый	rich man
богатырский	Herculean
богатырский	giant
богатырь	hero
богатырь	Hercules
богач	rich man
богачи	the rich
бодать	butt
бодрить	invigorate
бодриться	brace oneself
бодрость	cheerfulness
бодрствовать	be awake
бодрствовать	watch
бодрый	cheerful
бодрый	robust
бодрящий	bracing
боевой	fighting
боеспособность	fighting efficiency
боец	private
боец	man in the ranks
боец	fighter
боец	warrior
бой	fight
бой	battle
бойкий	smart
бойкий	sharp
бойкий	glib
бойкот	boycott
бойкотировать	boycott
бойница	loop­hole
бойня	slaughter­house
бойня	massacre
бойня	slaughter
бок	side
бокал	goblet
бокал	glass
боковой	side lateral
боком	sideways
бокс	boxing
боксёр	boxer
болван	blockhead
болгарин	Bulgarian
болгарский	Bulgarian
более	more
болезненный	sickly
болезненный	feeble
болезненный	painful
болезнь	illness
болезнь	disease
болельщик	fan
болеть	be ill
болеть	ache
болеть	hurt
болеутоляющее	sedative
болотистый	swampy
болотистый	marshy
болотный	swampy
болотный	marshy
болото	swamp
болото	marsh
болт	bolt
болтать	stir
болтать	shake up
болтать	chatter
болтаться	dangle
болтаться	hang loosely
болтаться	hang about
болтливый	talkative
болтовня	chatter
болтовня	jabber
болтовня	twaddle
болтовня	talk
болтун	talker
болтун	chatter­box
боль	pain
боль	ache
боль	pang
больница	hospital
больно	it hurts
больно	badly
больно	hard
больной	sick
больной	ill
больной	sore
больной	sick man
больной	patient
больной	invalid
больной	in­patient
больше	larger
больше	bigger
больше	greater
больше	more
больший	greater
большинство	majority
большинство	most
большой	big
большой	large
большой	great
болячка	sore
бомба	bomb
бомбардировать	bombard
бомбардировка	bombardment
бомбардировщик	bomber
бомбёжка	bombing
бомбить	bomb
бомбоубежище	bomb shelter
бор	pine forest
борец	fighter
борец	champion
борец	wrestler
бормотать	mutter
борный	boric
борода	beard
бородавка	wart
бородатый	bearded
борозда	furrow
борона	harrow
боронить	harrow
бороться	struggle
бороться	fight
бороться	wrestle
борт	side
борт	coat­breast
борьба	struggle
борьба	fight
борьба	wrestling
босиком	barefoot
босой	barefoot
босоножки	sandals
босоножки	open­toe sandals
ботаника	botany
ботанический	botanic
ботики	high overshoes
ботинок	boot
ботинок	high shoe
бочка	barrel
бочка	cask
бочонок	keg
бочонок	small barrel
боязливый	timid
боязнь	fear
боязнь	dread
бояться	be afraid
бояться	fear
бразилец	Brazilian
бразильский	Brazilian
брак	marriage
брак	matrimony
брак	defect
бракованный	defective
браковать	reject as defective
бранить	scold
браниться	swear
браниться	quarrel
бранный	abusive
брань	swearing
брань	bad language
браслет	bracelet
браслет	bangle
брат	brother
братский	brotherly
братский	fraternal
братство	brotherhood
братство	fraternity
брачный	marriage conjugal
бревенчатый	timbered
бревно	log
бред	delirium
бредить	be delirious
бредовой	delirious
брезгать	be squeamish
брезгливый	squeamish
брезент	tarpaulin
бремя	burden
бремя	load
брести	make one's way
брести	go
брешь	breach
брешь	gap
бригада	brigade
бригада	team
бригадир	brigade­leader
брильянт	diamond
брильянт	brilliant
британский	British
бритва	razor
бритый	shaven
брить	shave
бровь	eyebrow
бровь	brow
брод	ford
бродить	ferment
бродить	wander
бродить	stroll
бродяга	tramp
бродяга	vagrant
бродяжничать	be a vagrant
бродяжничать	live as a tramp
брожение	fermentation
брожение	unrest
броневик	armoured car
бронепоезд	armoured train
бронза	bronze
бронзовый	bronze
бронзовый	bronzed
бронированный	armoured
бронированный	iron­clad
бронировать	reserve
бронировать	book
бронировать	armour
бронхи	bronchial tubes
бронхит	bronchitis
броня	reserved place
броня	armour
бросить	throw
бросить	abandon
бросить	desert
бросить	give up
бросить	quit
броситься	dash
броситься	rush
броситься	throw oneself
брошенный	abandoned
брошенный	deserted
брошь	brooch
брошюра	booklet
брошюра	pamphlet
брус	beam
брусника	red bilberry
брусок	bar
брызгать	splash
брызгать	sprinkle
брызгать	spatter
брызги	splashes
брыкаться	kick
брюзга	grumbler
брюзжать	grumble
брюква	swede
брюква	turnip
брюки	trousers
брюнет	dark man
брюнетка	brunette
брюшина	peritoneum
брюшной	abdominal
бряцать	clank
бубны	diamonds
бугор	hillock
будет	that'll do that's enough
будильник	alarm­clock
будить	wake
будить	call
будить	rouse
будить	awaken
будка	box
будка	cabin
будни	week­days
будничный	everyday
будоражить	disturb
будто	as if
будто	as though
будущее	the future
